distrito,psoe,up,ciudadanos,vox,pp,labels
Actur,34.17,17.09,21.69,11.72,12.08,PSOE
Aljafería,35.01,14.77,20.66,11.87,14.47,UP
Casco,28.08,18.63,18.04,12.21,19.85,CIUDADANOS
Centro,18.30,7.94,23.12,16.52,31.86,VOX
Delicias,34.48,14.03,19.72,10.74,17.76,PP
Las fuentes,37.77,15.84,18.44,9.89,14.47
San Jose,33.08,14.10,20.02,11.06,18.30
Torrero,34.06,20.26,20.01,10.36,11.34
Universidad,24.07,13.91,24.73,14.19,19.88
Via Hispanidad,29.01,14.28,25.03,13.92,14.12
Zona norte,28.24,14.94,23.78,15.60,13.94
Zona oeste,30.49,14.68,19.40,16.19,15.75
