order,vox,distrito
1,11,01
2,12,01
3,16,01
4,10,01
5,9,01
6,10,01
7,10,01
8,9,01
9,10,01
10,15,01
11,12,01
12,13,01
13,13,01
14,11,01
15,11,01
16,12,01
17,11,01
18,14,01
19,11,01
20,12,01
21,12,01
22,13,01
23,19,01
24,11,01
25,15,01
26,12,01
27,15,01
28,16,01
29,18,01
30,10,01
31,9,01
32,17,02
33,13,02
34,20,02
35,16,02
36,22,02
37,22,02
38,21,02
39,14,02
40,15,02
41,19,02
42,18,02
43,13,02
44,11,02
45,11,02
46,17,02
47,16,02
48,20,02
49,15,02
50,16,02
51,16,02
52,18,02
53,19,02
54,19,02
55,20,02
56,21,02
57,16,02
58,22,02
59,19,02
60,19,02
61,19,02
62,18,02
63,15,02
64,20,02
65,17,02
66,14,02
67,20,02
68,12,02
69,13,02
70,12,02
71,13,02
72,12,02
73,13,02
74,13,02
75,14,02
76,16,02
77,16,03
78,10,03
79,11,03
80,10,03
81,10,03
82,10,03
83,12,03
84,10,03
85,6,03
86,12,03
87,13,03
88,11,03
89,13,03
90,9,03
91,9,03
92,11,03
93,10,03
94,11,03
95,11,03
96,7,03
97,12,03
98,9,03
99,8,03
100,7,03
101,11,03
102,8,03
103,11,03
104,11,03
105,11,03
106,13,03
107,10,03
108,10,03
109,13,03
110,15,03
111,12,03
112,10,03
113,13,03
114,12,03
115,7,03
116,9,03
117,11,03
118,10,03
119,8,03
120,8,03
121,12,03
122,9,03
123,9,03
124,10,03
125,8,03
126,8,03
127,11,03
128,13,03
129,12,03
130,9,03
131,11,03
132,10,03
133,11,03
134,11,03
135,10,03
136,12,03
137,12,03
138,10,03
139,9,03
140,10,03
141,12,03
142,11,03
143,10,03
144,10,03
145,8,03
146,12,03
147,10,03
148,16,03
149,8,03
150,12,03
151,7,03
152,15,03
153,10,03
154,11,03
155,17,03
156,13,03
157,12,03
158,12,03
159,11,03
160,12,04
161,11,04
162,18,04
163,17,04
164,18,04
165,13,04
166,18,04
167,13,04
168,12,04
169,11,04
170,8,04
171,15,04
172,11,04
173,12,04
174,14,04
175,12,04
176,16,04
177,13,04
178,12,04
179,11,04
180,12,04
181,16,04
182,11,04
183,13,04
184,11,04
185,6,04
186,13,04
187,14,04
188,13,04
189,10,04
190,13,04
191,18,04
192,18,04
193,12,04
194,10,04
195,19,04
196,25,04
197,17,04
198,15,04
199,17,04
200,9,04
201,14,04
202,9,04
203,12,04
204,21,04
205,10,04
206,16,04
207,11,04
208,19,04
209,21,04
210,11,04
211,15,04
212,12,04
213,13,04
214,13,04
215,12,04
216,17,04
217,11,04
218,14,04
219,14,04
220,15,04
221,13,05
222,9,05
223,10,05
224,8,05
225,9,05
226,10,05
227,12,05
228,14,05
229,14,05
230,13,05
231,10,05
232,10,05
233,9,05
234,8,05
235,10,05
236,15,05
237,16,05
238,13,05
239,12,05
240,11,05
241,12,05
242,8,05
243,11,05
244,11,05
245,16,05
246,12,05
247,9,05
248,11,05
249,11,05
250,9,05
251,11,05
252,14,05
253,10,05
254,10,05
255,12,05
256,9,05
257,14,05
258,9,05
259,9,05
260,12,05
261,9,05
262,10,05
263,9,05
264,9,05
265,10,05
266,12,05
267,8,05
268,12,05
269,11,06
270,12,06
271,9,06
272,9,06
273,11,06
274,10,06
275,9,06
276,11,06
277,6,06
278,8,06
279,11,06
280,10,06
281,10,06
282,9,06
283,11,06
284,9,06
285,13,06
286,9,06
287,10,06
288,9,06
289,10,06
290,10,06
291,9,06
292,11,06
293,8,06
294,14,06
295,8,06
296,11,06
297,10,06
298,11,06
299,9,06
300,7,06
301,9,06
302,8,06
303,10,06
304,11,06
305,12,07
306,10,07
307,11,07
308,10,07
309,9,07
310,12,07
311,11,07
312,12,07
313,11,07
314,18,07
315,11,07
316,11,07
317,11,07
318,12,07
319,16,07
320,11,07
321,9,08
322,11,08
323,9,08
324,9,08
325,16,08
326,15,08
327,15,08
328,14,08
329,15,08
330,18,08
331,19,08
332,13,08
333,12,08
334,13,08
335,10,08
336,13,08
337,13,08
338,15,08
339,13,08
340,14,08
341,15,08
342,15,08
343,13,08
344,16,08
345,19,08
346,9,09
347,10,09
348,11,09
349,9,09
350,8,09
351,8,09
352,7,09
353,9,09
354,9,09
355,9,09
356,14,09
357,13,09
358,11,09
359,9,09
360,10,09
361,11,09
362,6,09
363,8,09
364,11,09
365,12,09
366,10,09
367,12,09
368,8,09
369,8,09
370,10,09
371,11,09
372,10,09
373,12,10
374,13,10
375,10,10
376,9,10
377,9,10
378,10,10
379,9,10
380,11,10
381,10,10
382,10,10
383,15,10
384,12,10
385,11,10
386,11,10
387,13,10
388,12,10
389,10,10
390,8,10
391,10,10
392,14,10
393,14,10
394,15,10
395,12,10
396,13,10
397,14,10
398,14,10
399,9,10
400,12,10
401,9,10
402,11,10
403,11,10
404,9,10
405,8,10
406,10,10
407,10,10
408,11,10
409,8,10
410,9,10
411,9,10
412,9,10
413,12,10
414,12,10
415,11,10
416,14,10
417,16,10
418,15,10
419,9,10
420,10,10
421,10,10
422,12,10
423,9,10
424,12,10
425,12,10
426,15,10
427,9,10
428,13,10
429,10,10
430,12,10
431,11,10
432,9,10
433,13,10
434,11,10
435,10,10
436,15,10
437,14,10
438,14,10
439,10,10
440,11,10
441,14,10
442,12,10
443,10,10
444,12,10
445,12,10
446,12,10
447,13,10
448,12,10
449,15,10
450,13,10
451,13,10
452,13,10
453,9,10
454,14,10
455,13,10
456,12,10
457,10,10
458,10,10
459,11,10
460,12,10
461,12,11
462,12,11
463,25,11
464,15,11
465,17,11
466,16,11
467,17,11
468,14,11
469,17,11
470,13,11
471,17,11
472,15,11
473,12,11
474,18,11
475,13,11
476,16,11
477,23,12
478,17,12
479,13,12
480,10,12
481,10,12
482,23,12
483,13,12
484,27,12
